"logFC","AveExpr","t","P.Value","adj.P.Val","B","GeneSymbol","GeneName","significance","negLog10FDR"
-1.5849,-4.7164,-36.8587838625479,4.20309019230076e-07,7.22598369106136e-05,7.65140503109074,"MAP1LC3C","microtubule associated protein 1 light chain 3 gamma","Down",4.14110302296313
-1.5849,-4.7164,-36.8587838625479,4.20309019230076e-07,7.22598369106136e-05,7.65140503109074,"KCNK10","potassium two pore domain channel subfamily K member 10","Down",4.14110302296313
-1.5849,-4.7164,-36.8587838625479,4.20309019230076e-07,7.22598369106136e-05,7.65140503109074,"CD177","CD177 molecule","Down",4.14110302296313
-1.5849,-4.7164,-36.8587838625479,4.20309019230076e-07,7.22598369106136e-05,7.65140503109074,"PTGDS","prostaglandin D2 synthase","Down",4.14110302296313
-1.5849,-4.7164,-36.8587838625479,4.20309019230076e-07,7.22598369106136e-05,7.65140503109074,"SELP","selectin P","Down",4.14110302296313
-1.5849,-4.7164,-36.8587838625479,4.20309019230076e-07,7.22598369106136e-05,7.65140503109074,"BTN1A1","butyrophilin subfamily 1 member A1","Down",4.14110302296313
-1.5849,-4.7164,-36.8587838625479,4.20309019230076e-07,7.22598369106136e-05,7.65140503109074,"TWIST1","twist family bHLH transcription factor 1","Down",4.14110302296313
-1.5849,-4.7164,-36.8587838625479,4.20309019230076e-07,7.22598369106136e-05,7.65140503109074,"NBAT1","neuroblastoma associated transcript 1","Down",4.14110302296313
-1.5849,-4.7164,-36.8587838625479,4.20309019230076e-07,7.22598369106136e-05,7.65140503109074,"ZNF215","zinc finger protein 215","Down",4.14110302296313
-1.5849,-4.7164,-36.8587838625479,4.20309019230076e-07,7.22598369106136e-05,7.65140503109074,"CACNA1F","calcium voltage-gated channel subunit alpha1 F","Down",4.14110302296313
-1.5849,-4.7164,-36.8587838625479,4.20309019230076e-07,7.22598369106136e-05,7.65140503109074,"LY6G6E","lymphocyte antigen 6 family member G6E (pseudogene)","Down",4.14110302296313
